Store ID,Store Name,Division,Urbanicity,lag_1,lag_4,lag_13,lag_52,Urbanicity_enc,CYE Total Households,CYE Household Density HH SqMi,CYE Median Household Income,CYE Total Housing Units,CYE Total Population,income_affluent,housing_old_share,housing_new_share,Sister Store Count in TradeArea,total_competitor_ta,Wallflowers Depot Count in TradeArea
S00023,"Royalgrove, TX",SOUTH,Large Town,454231.0548,419958.9604,478980.8756,377415.3516,1,117832,637,137686,124297,371443,41.67,1.37,62.64,0,20,2
S00024,"Highreach, CO",WEST,Small Town,379345.6284,358611.9493,421920.2126,304154.7209,6,68403,54,62582,73018,168155,9.549999999999999,41.89,18.79,1,16,4
S00025,"Maplewood, TN",SOUTH,Small Town,723961.8618,703858.4384,737368.0327,634318.368,6,62491,289,59389,70069,152484,9.95,41.97,19.79,0,7,1
S00026,"Copperbend, IA",NORTH,Large Town,747511.2756,676288.7217,798187.3844,746369.8626,1,89072,219,83000,95090,208247,16.85,40.05,23.86,0,22,3
S00027,"Crystalmere, WA",WEST,Large Town,119932.0045,129026.7235,155037.5371,136290.732,1,426457,1077,147012,453548,990636,45.97,27.31,28.23,2,49,2
S00028,"Brightheights, SC",SOUTH,Small Town,3035751.456,2989997.253,3025016.098,3169658.415,6,86076,93,69643,95947,206747,14.32,30.880000000000003,23.03,1,18,4
S00029,"Royaljunction, VA",NORTH,Small Town,1561428.632,1547532.978,1911283.637,1321763.272,6,225570,427,83413,241069,516499,18.71,43.82000000000001,17.12,5,54,7
S00030,"Westcliff, TN",SOUTH,Rural,480429.7415,505055.9459,581756.8268,524534.7295,4,26172,45,61706,29998,66021,10.76,31.1,18.59,0,7,1
S00031,"Copperhollow, VA",NORTH,Small City,854784.0386,787557.7364,985175.6684,760106.177,5,114005,1295,91708,118390,292785,18.95,18.81,16.75,1,27,5
S00032,"Oakrun, VA",NORTH,Small Town,501402.0793,437840.9976,553945.9272,570622.2532,6,72707,112,102804,78564,180780,29.65,25.43,25.85,1,20,2
S00033,"Southreach, TN",SOUTH,Small Town,1215744.439,1182820.51,1206561.883,1060440.905,6,46735,101,67610,50284,119321,9.96,22.590000000000003,24.93,0,9,2
S00034,"Eaglekeep, MO",WEST,Rural,306087.6058,361692.0207,475545.6367,341485.3927,4,24533,30,63661,27885,60601,9.23,32.86,23.35,0,15,3
S00035,"Greenharbor, FL",SOUTH,Large Town,316086.9762,320245.1709,345882.8879,388473.3535,1,111127,600,61511,123984,269239,10.46,29.520000000000003,19.27,2,31,8
S00036,"Pinehollow, CA",WEST,Small City,852474.0723,753768.6997,874763.997,762404.1892,5,184353,2613,93397,190766,541131,24.89,49.96,9.33,1,21,2
S00037,"Whiteport, NC",SOUTH,Large Town,355020.3302,344346.3118,441552.0178,357984.8569,1,74736,325,112339,81859,184721,30.67,8.75,44.64,1,15,2
S00038,"Highmere, CA",WEST,Large Town,1602290.078,1540044.724,1731848.629,1527360.83,1,130796,1366,95507,135331,399903,25.39,53.36,7.960000000000001,1,20,3
S00039,"Hightown, SC",SOUTH,Small Town,2622305.803,2817574.811,3166301.628,2786590.327,6,157659,179,67221,216953,364957,12.059999999999999,6.970000000000001,37.46,3,53,10
S00040,"Clearcourt, TX",SOUTH,Small Town,1174413.109,1164277.024,1140656.925,1118988.527,6,72411,394,87629,80111,190326,19.61,21.78,33.42,1,21,2
S00041,"Eaglehaven, MI",NORTH,Large Town,431270.2823,385843.8828,432419.294,317332.62,1,70204,1531,68110,73806,161226,11.15,75.08999999999999,4.67,0,14,1
S00042,"Sunvalley, IL",WEST,Small Town,334019.0607,389027.9856,422173.7659,326576.1982,6,198086,253,73590,220799,473909,14.11,51.089999999999996,15.009999999999998,2,45,7
S00043,"Silvercamp, MO",WEST,Large Town,787253.3435,908979.3789,1143081.544,757143.3563,1,164037,568,73640,178877,403480,13.23,40.43,15.280000000000001,2,41,7
S00044,"Oakfield, VA",NORTH,Rural,613144.6502,621716.2061,750632.2749,657469.8431,4,65105,104,91374,70434,160753,24.77,28.21,24.71,1,22,2
S00045,"Greenbay, FL",SOUTH,Large Town,2548158.056,1983715.906,2309115.284,2749495.755,1,174038,652,90329,216696,390455,22.6,16.52,26.88,2,49,10
S00046,"Mapleview, CA",WEST,Small City,531538.9654,510291.4005,603103.9561,494171.2388,5,143996,1110,103000,148359,472629,25.700000000000003,21.64,22.66,1,30,3
S00047,"Eastcamp, TX",WEST,Small City,1689722.057,1825601.595,2035990.559,1682292.438,5,171686,1077,115412,178685,478550,29.47,10.24,40.97,2,41,12
S00048,"Mapleridge, NY",NORTH,Small Town,1992629.615,1891704.332,2690552.698,1751107.582,6,50061,184,112759,54044,159046,36.94,35.489999999999995,20.490000000000002,1,24,2
S00049,"Whiteharbor, CO",WEST,Remote,391631.7664,379972.0578,545040.2371,383794.0306,3,27953,21,107416,58194,62730,29.64,10.99,16.43,0,9,2
S00050,"Crystalcove, AR",WEST,Rural,641769.6908,649884.5937,713962.8393,669451.1815,4,39402,19,50414,45487,95252,7.039999999999999,29.58,17.299999999999997,0,7,2
S00051,"Whitewatch, WI",NORTH,Large Town,169630.2156,142178.6603,138999.9638,107406.8629,1,152993,189,82470,159523,368989,15.469999999999999,36.480000000000004,20.92,0,46,4
S00052,"Wingard, CT",NORTH,Small City,1619564.293,1490762.539,1878385.014,1411027.044,5,149072,853,83709,160908,370493,21.29,60.88,7.720000000000001,0,29,4
S00053,"Stormhaven, NC",SOUTH,Large Town,372552.4667,343669.7721,400313.977,345753.4603,1,76405,410,106842,79604,205918,27.34,8.23,37.25,2,21,3
S00054,"Ironside, AZ",WEST,Rural,257142.4269,234860.316,333099.6452,245340.1978,4,123418,267,121196,139644,295265,34.019999999999996,2.27,44.2,0,22,2
S00055,"Northshire, KY",SOUTH,Small Town,507251.836,530669.0253,617043.2747,524139.4708,6,52741,45,66178,59363,125014,11.97,34.85,16.05,1,14,2
S00056,"Mapleport, TX",WEST,Small City,455821.075,437229.4304,540893.0349,451877.9434,5,236515,1190,71521,251832,688749,12.77,37.82,12.219999999999999,1,41,12
S00057,"Moonfield, MD",NORTH,Large Town,276109.1317,267855.5801,311365.6719,244458.8942,1,252507,1437,92866,281497,611399,23.97,55.29,14.5,1,40,5
S00058,"Cedarmark, NY",NORTH,Small City,157732.7668,160784.5549,243521.991,170883.239,5,94623,807,119210,98968,308113,38.94,47.71,12.77,0,20,1
S00059,"Winridge, FL",SOUTH,Small Town,285657.1022,260447.3509,283372.0908,315986.7259,6,132137,321,71855,153484,287107,13.51,12.86,38.4,2,32,3
S00060,"Lakehold, OK",WEST,Small Town,1170292.038,1268318.688,1410923.932,1184497.085,6,47436,46,63037,55831,127163,8.82,37.34,18.490000000000002,0,15,3
S00061,"Rivercrest, TX",SOUTH,Large Town,481320.5886,522692.9861,495571.4424,479122.4682,1,229012,771,83996,245693,654194,16.79,8.809999999999999,44.25,2,32,12
S00062,"Moonharbor, CT",NORTH,Small Town,240542.9717,218394.0632,328901.0103,200924.5257,6,99047,126,82633,107399,245454,19.17,51.23,12.15,1,32,4
S00063,"Frostrun, WI",NORTH,Small Town,1139338.09,1010100.648,1170001.534,990468.2419,6,193482,161,79538,203704,459985,14.030000000000001,40.68,18.28,1,58,6
S00064,"Goldcamp, LA",SOUTH,Small Town,2529604.293,2492811.554,2860376.766,2248151.337,6,76954,126,68303,86097,188209,13.9,28.099999999999998,28.1,1,27,6
S00065,"Whitemark, KY",SOUTH,Rural,1123152.33,1437913.329,1399499.228,1251173.874,4,49551,32,46816,59639,123103,6.16,23.759999999999998,23.04,0,15,2
S00066,"Whiteisle, AL",SOUTH,Small Town,899729.2234,890232.1565,1046463.44,896440.3823,6,123241,83,61879,137266,297635,11.23,22.900000000000002,27.630000000000003,0,31,8
S00067,"Granitemark, MD",NORTH,Small City,1262753.941,1205536.173,1472779.148,1217568.747,5,321166,1972,83673,363652,754742,20.07,64.61,10.41,0,29,4
S00068,"Starcross, LA",SOUTH,Rural,1148983.302,1233626.651,1379798.78,1162093.144,4,52870,46,66591,59474,132225,12.42,34.02,22.36,1,19,5
S00069,"Crystalgard, IL",WEST,Large Town,189364.4892,202296.708,234342.8984,195309.9457,1,170658,330,73172,195528,400041,15.0,51.71,17.29,2,38,5
S00070,"Lakereach, NH",NORTH,Small Town,384074.6505,447477.6055,669400.6454,434064.3605,6,127958,228,120414,132333,327484,33.92,30.740000000000002,15.099999999999998,2,41,3
S00071,"Mormark, FL",SOUTH,Large Town,1830420.374,1510011.338,1690438.808,2115423.401,1,122893,358,69505,150584,277563,11.34,7.59,31.14,1,30,7
S00072,"Pinemesa, OR",WEST,Small City,1611010.735,1480133.291,1594243.531,1475742.33,5,352207,1360,98321,375098,807161,25.55,44.150000000000006,18.6,0,50,4
S00073,"Maplewatch, MD",NORTH,Large Town,409785.7413,372980.1654,486523.2873,342193.4379,1,302997,946,113415,322890,792522,31.759999999999998,33.47,19.880000000000003,2,55,7
S00074,"Pinegrove, AK",WEST,Remote,3089401.035,2656861.195,3507612.396,2679095.289,3,32637,15,96719,37282,83462,23.869999999999997,14.760000000000002,22.38,0,8,1
S00075,"Brightmark, OH",NORTH,Large Town,289677.6895,282498.3326,319981.2843,296398.7481,1,69611,706,99139,73310,169268,24.11,38.03,22.05,0,17,1
S00076,"Lowwood, CT",NORTH,Large Town,902568.2888,833701.8759,1071036.518,755846.41,1,130639,728,82498,139073,320439,18.13,56.02,7.15,1,30,4
S00077,"Ironsprings, LA",SOUTH,Small Town,412679.6969,439971.6986,444594.1989,372445.0645,6,150524,133,59283,168827,354140,10.83,34.18,20.869999999999997,2,38,9
S00078,"Graniteview, CA",WEST,Large Town,336356.8077,265805.7404,338835.4714,331171.8902,1,93366,558,80213,124777,248079,21.24,10.86,31.16,0,23,5
S00079,"Suncove, CA",WEST,Large Town,1800479.995,1504344.731,2036241.057,1468794.591,1,252762,660,81450,264107,838741,17.25,39.71,13.16,3,40,8
S00080,"Northplains, NY",NORTH,Small Town,322740.2668,316741.3676,414147.3507,297177.0645,6,135739,537,71669,147392,320929,13.95,62.879999999999995,8.219999999999999,2,36,4
S00081,"Stonepoint, OH",NORTH,Large Town,476581.0936,475468.3088,632276.2228,451834.5513,1,104991,644,72143,113031,239226,13.709999999999999,49.18,11.28,1,27,2
S00082,"Ironmere, TX",WEST,Large Town,805076.3661,841628.2632,903557.8506,778405.2881,1,175519,564,82604,188298,466178,17.07,25.83,33.07,1,31,7
S00083,"Starplains, SD",WEST,Rural,1407825.172,1463077.152,1536260.848,1352020.894,4,60610,23,72263,65933,147277,12.2,25.42,24.62,0,23,2
S00084,"Royalford, FL",SOUTH,Small City,2320760.59,1812154.192,2386584.883,2765882.774,5,105827,1941,74515,126279,223053,15.440000000000001,29.229999999999997,9.14,0,15,4
S00085,"Ashplains, MT",WEST,Small Town,603612.1843,589766.2092,683917.434,587882.1692,6,55164,46,92607,59525,131159,21.78,17.529999999999998,35.03,0,24,1
S00086,"Southwatch, PA",NORTH,Large Town,2626584.202,2215146.071,3070062.376,2355805.862,1,125179,714,78460,131413,318531,17.5,52.120000000000005,14.829999999999998,0,33,2
S00087,"Bearcliff, NC",SOUTH,Small Town,1736404.65,1759551.873,1854017.328,1627153.888,6,36775,39,48354,41657,88296,5.51,38.36,12.620000000000001,1,13,4
S00088,"Wingate, MI",NORTH,Large Town,232134.6753,209106.9128,260406.4466,217072.5922,1,123164,575,96156,130661,295029,23.810000000000002,38.32,12.91,2,33,2
S00089,"Lakeisle, AL",SOUTH,Rural,1669147.693,1708436.836,1760805.03,1480573.433,4,47082,113,87293,50349,123428,20.759999999999998,16.36,34.94,1,12,2
S00090,"Goldstrand, OH",NORTH,Small Town,471774.3387,422140.9407,547854.0412,421013.6593,6,60454,387,59202,66427,140000,9.16,58.67,10.19,1,14,1
S00091,"Goldvalley, FL",SOUTH,Small Town,828763.4551,830946.2383,826237.4427,810714.2288,6,55889,207,70842,61034,137248,12.280000000000001,16.77,26.29,1,13,3
S00092,"Lakewood, IN",NORTH,Large Town,234859.027,200420.7591,267694.2175,227826.4893,1,129448,844,100361,141326,306415,24.22,40.53,17.95,0,24,3
S00093,"Copperhaven, NC",NORTH,Small Town,1132743.395,1186551.232,1073432.469,1045811.885,6,17345,57,81842,33180,39840,18.56,10.290000000000001,22.169999999999998,0,14,1
S00094,"Wolfbay, TX",SOUTH,Large City,143468.5451,158381.3779,209631.2082,162927.0772,0,219389,2190,69119,240260,568832,13.86,14.84,21.85,0,27,6
S00095,"Redkeep, SC",SOUTH,Rural,484683.2957,484305.2841,525885.2096,486899.6652,4,39214,114,76180,41744,98620,14.010000000000002,16.490000000000002,32.14,0,10,3
S00096,"Moonjunction, CA",WEST,Large City,388422.5935,347479.9057,358463.159,375682.6528,0,330713,2559,90969,338900,1073330,22.43,65.81,4.94,2,53,11
S00097,"Greencove, WV",NORTH,Rural,1881328.0,1811924.0,2747152.0,2102680.0,4,20056,43,58279,22666,46353,7.78,39.620000000000005,12.64,1,10,2
S00098,"Pinefield, IN",NORTH,Rural,177447.3264,171400.3643,210989.0152,147968.3863,4,37441,49,64183,40451,96054,7.210000000000001,55.18,10.5,0,13,2
S00099,"Royalrock, VA",NORTH,Rural,1951132.0,1968416.0,2141048.0,1996928.0,4,20239,18,53243,24576,46221,7.550000000000001,39.6,13.62,0,7,1
S00100,"Silvercliff, IL",NORTH,Rural,625486.7115,650492.539,818236.4387,720963.068,4,33452,21,61546,37821,79581,8.85,64.91,5.95,0,11,1
S00101,"Foxbend, TX",SOUTH,Small City,183848.9141,177015.0114,224414.0638,197894.6821,5,429255,1594,70121,474454,1081787,13.74,30.090000000000003,23.46,5,67,17
S00102,"Cedarplains, GA",SOUTH,Rural,2705060.553,2669919.659,2940665.71,2567660.708,4,35833,28,57755,44978,90110,10.61,21.71,24.139999999999997,0,16,2
S00103,"Shadowshire, TX",SOUTH,Small City,346799.5474,327978.553,358372.446,285328.7313,5,122356,1505,93489,128004,365055,20.45,1.65,45.72,0,22,6
S00104,"Sageisle, NC",SOUTH,Rural,1324327.354,1397026.372,1494142.4,1382996.069,4,28252,55,57882,32153,67372,7.470000000000001,33.71,14.350000000000001,0,4,1
S00105,"Lakebend, CA",WEST,Small City,1147710.173,1023407.972,1095353.302,1081768.929,5,224036,2726,115807,233804,595173,34.489999999999995,59.55,7.01,1,34,3
S00106,"Greenridge, SC",SOUTH,Small Town,660675.7124,711833.4476,748108.4604,705342.2099,6,93397,263,64963,102520,226036,12.41,30.04,22.39,1,22,4
S00107,"Lakedale, NY",NORTH,Rural,506469.4244,470563.7157,632279.4401,461049.4368,4,28748,48,78476,31967,70481,15.780000000000001,52.43,10.27,0,6,1
S00108,"Silverstrand, AL",SOUTH,Rural,1075019.004,1116258.3,1268166.532,1129030.18,4,77460,131,69524,86893,188670,12.03,30.31,19.16,1,26,6
S00109,"Lowfall, AL",SOUTH,Small Town,456862.1465,478225.1315,497089.2191,467092.7486,6,70917,54,63680,79187,170705,10.84,27.25,21.4,1,24,4
S00110,"Northridge, MO",WEST,Large Town,1780988.0,2019600.0,2349288.0,1833420.0,1,106029,619,132598,110894,267334,38.46,26.24,13.59,2,28,3
S00111,"Bluecourt, CA",WEST,Large Town,1407726.241,1279105.564,1426087.495,1406137.466,1,146044,407,82983,151112,438841,19.18,27.98,19.21,0,32,5
S00112,"Redport, CA",WEST,Small Town,974605.7317,935110.395,1153073.108,845845.8499,6,129294,597,101315,138131,359206,27.21,19.53,16.61,2,21,5
S00113,"Royalcliff, PA",NORTH,Rural,497548.463,526213.6399,587876.9958,516055.4334,4,156798,261,98251,165224,409068,24.45,40.68,18.96,4,37,5
S00114,"Shadowfall, NY",NORTH,Small Town,570365.7938,553699.6616,679384.6687,531648.3488,6,49083,88,65762,54291,112811,11.27,66.33,7.56,0,17,3
S00115,"Sageplains, FL",SOUTH,Large Town,192181.5,166022.25,184609.0,187370.0,1,78627,322,82203,94680,177255,19.04,9.17,20.11,1,18,2
S00116,"Winford, PA",NORTH,Rural,516101.2546,514059.9943,707971.4891,485895.7073,4,189028,117,73522,230873,465326,14.52,43.39,14.32,2,50,4
S00117,"Westhaven, MS",SOUTH,Rural,435214.1418,511523.8056,551651.4274,483635.2755,4,47571,92,57894,55431,113406,9.89,22.15,34.38,1,15,3
S00118,"Lakerun, OK",WEST,Rural,1173880.784,1172750.65,1707182.88,1273640.669,4,28710,14,67118,33234,74425,10.96,47.74,11.86,0,9,2
S00119,"Sunhold, TN",SOUTH,Small Town,931498.7008,927766.3274,978055.4079,905918.9236,6,177185,565,93715,188424,442154,21.32,25.45,22.05,3,43,7
S00120,"Eaglegard, PA",NORTH,Large Town,437892.8776,437696.3242,596912.6622,380080.3617,1,102988,648,129881,106500,270410,37.620000000000005,41.2,13.54,1,31,3
S00121,"Greenplains, CA",WEST,Small Town,1592872.2,1532424.873,1802548.189,1648599.452,6,76428,105,90753,81803,232717,22.54,28.1,20.38,0,21,4
S00122,"Vancamp, AR",WEST,Small Town,1178399.767,1103082.205,1225375.565,970855.7021,6,103079,436,77194,110763,275922,16.490000000000002,11.309999999999999,34.43,2,37,14
S00123,"Ashcourt, TN",SOUTH,Large Town,1244755.117,1096854.855,1333804.313,1162904.015,1,278383,935,71836,307841,674713,14.42,40.160000000000004,12.860000000000001,3,49,8
S00124,"Sagecrest, KY",SOUTH,Large Town,756957.5532,734576.6079,1040288.29,845844.5927,1,186193,1033,93315,199399,421574,21.54,38.75,19.580000000000002,2,42,6
S00125,"Oakstrand, CA",WEST,Metropolis,465395.0,394637.0,491977.5,461595.0,2,797618,5390,80617,864818,1876746,23.1,59.269999999999996,10.4,0,68,0
S00126,"Lakehaven, CA",WEST,Large Town,271513.821,233923.2036,297068.8993,238926.225,1,106398,374,79362,110040,335875,16.55,17.95,18.689999999999998,1,22,4
S00127,"Lowstrand, CT",NORTH,Large Town,658543.4607,645005.6565,829004.153,613647.3438,1,197368,546,82649,211908,478937,19.7,60.629999999999995,8.879999999999999,1,44,4
S00128,"Ashcross, NM",WEST,Rural,308001.7234,304472.6032,317619.4869,304744.5525,4,36821,29,58712,41130,98009,9.57,19.380000000000003,20.619999999999997,0,14,2
S00129,"Clearwatch, TX",WEST,Large Town,564623.9099,577963.6506,716200.3592,535916.7881,1,271237,835,73738,293424,730951,14.79,35.129999999999995,21.87,3,53,13
S00130,"Greenpoint, OH",NORTH,Rural,731850.4299,774399.6801,970774.8675,742666.1104,4,25371,31,63924,28620,62719,7.25,34.99,17.91,0,9,1
S00131,"Bearhold, CA",WEST,Large Town,1197434.856,1107484.572,1284389.682,1216443.109,1,158236,1545,91009,163194,489868,22.13,23.700000000000003,24.78,0,21,5
S00132,"Oaksprings, TN",SOUTH,Rural,839166.4949,873272.0481,867846.7467,753477.4665,4,37178,48,55422,41812,93870,7.180000000000001,25.759999999999998,23.240000000000002,0,9,3
S00133,"Lowhaven, CA",WEST,Small City,308757.3674,291694.1796,327105.8155,285282.3601,5,172095,1754,90847,178223,442166,21.07,31.28,7.18,0,33,7
S00134,"Maplepoint, MA",NORTH,Large Town,1108497.628,1202634.384,1526835.225,1202819.155,1,143439,878,68313,152042,352031,13.719999999999999,70.33,5.18,0,29,2
S00135,"Silverport, ME",NORTH,Rural,2210604.0,2365612.0,3035780.0,2285692.0,4,36430,78,83080,48281,86622,16.64,32.5,20.96,0,13,1
S00136,"Ironheights, MO",WEST,Rural,833507.2585,935275.7507,1047869.955,834728.9932,4,50465,22,58819,58251,128774,8.1,28.16,24.950000000000003,2,20,5
S00137,"Frostgate, TX",WEST,Rural,621001.3067,683710.7137,712461.1554,624602.2378,4,96733,74,69559,107868,255388,12.83,27.36,25.48,1,28,9
S00138,"Lowmont, MI",NORTH,Small Town,395723.5442,350824.3137,548605.7812,387311.1844,6,42808,133,69895,50184,102167,14.86,52.739999999999995,12.09,0,17,1
S00139,"Sunkeep, WI",NORTH,Large Town,256486.8077,217909.02,246103.7471,214727.8822,1,231567,1112,69445,246311,532259,12.93,62.64,11.04,0,46,7
S00140,"Ashgate, GA",SOUTH,Small Town,967916.9688,904734.1224,961977.5157,1213769.172,6,61062,50,62652,67781,159801,10.01,18.16,28.589999999999996,0,21,4
S00141,"Cedarsprings, NC",SOUTH,Rural,682686.3673,657975.005,735787.6725,774387.5344,4,23129,41,58251,27614,58100,8.3,29.42,22.56,0,7,2
S00142,"Wolfpoint, MI",NORTH,Rural,550211.685,555290.0828,634490.8726,547143.5146,4,26286,26,60554,38236,64804,8.65,43.419999999999995,15.35,0,14,1
S00143,"Royalridge, MO",WEST,Rural,332023.6705,390635.3235,449084.9255,354559.9504,4,29713,20,52901,32937,71986,6.21,38.46,13.399999999999999,0,9,2
S00144,"Weststrand, OK",WEST,Large Town,603733.4279,606495.1814,660664.8713,621882.6938,1,262147,572,75777,286198,647745,14.95,31.6,20.259999999999998,4,68,21
S00145,"Galfield, OH",NORTH,Large Town,445201.8574,402812.5521,507965.1905,371867.8988,1,103749,920,74276,109607,258167,12.2,30.310000000000002,20.72,0,21,3
S00146,"Royaldale, FL",SOUTH,Large Town,434997.3515,368003.9103,426449.7387,489270.419,1,104893,718,61181,119171,242001,10.32,8.690000000000001,18.1,1,22,4
S00147,"Graniteplains, ID",WEST,Small Town,1749697.183,1879464.47,2156854.268,1787638.311,6,45397,22,71236,48034,125974,11.850000000000001,30.720000000000002,25.07,0,28,2
S00148,"Ironbay, NJ",NORTH,Large Town,183209.1628,139989.6099,210579.975,166987.3112,1,145282,994,96671,164960,417926,26.78,35.0,18.22,2,27,2
S00149,"Shadowmark, OK",WEST,Small Town,2237528.298,2527839.165,2520736.41,2258337.355,6,36336,31,59521,43068,93711,9.43,30.490000000000002,26.58,0,14,3
S00150,"Moonmesa, OH",NORTH,Small Town,142344.5,145939.25,149845.5,153778.75,6,66706,317,74867,71169,175429,14.629999999999999,42.489999999999995,17.03,0,17,3
S00151,"Morwood, MI",NORTH,Small Town,872914.3322,874405.3465,1129643.39,767997.8672,6,32979,54,67558,36269,84640,10.53,49.4,13.0,0,13,1
S00152,"Southhold, CA",WEST,Small City,1499496.153,1675959.176,1504055.666,1334680.117,5,274690,2662,105760,285164,823967,30.73,47.69,7.16,0,44,6
S00153,"Foxreach, OH",NORTH,Rural,116192.75,123136.5,164274.0,117437.25,4,19898,40,72645,24492,47384,10.09,47.69,12.87,0,7,1
S00154,"Galrun, DE",NORTH,Rural,500226.7539,451148.9391,593490.1988,423030.5745,4,128499,121,81849,209134,299409,19.09,13.61,34.769999999999996,3,45,5
S00155,"Stormheights, NC",SOUTH,Rural,330104.9176,346173.3396,363959.9475,326696.9275,4,27918,66,56662,31363,65352,8.45,34.46,15.91,0,7,2
S00156,"Westmont, SC",SOUTH,Large Town,411556.731,401464.3001,476224.4788,399432.4342,1,130120,376,68648,176891,301593,12.629999999999999,6.38,38.09,2,49,11
S00157,"Graydor, CA",WEST,Small Town,330537.1234,334125.8695,387486.7739,335479.1997,6,387374,707,106332,401901,1024540,27.97,23.409999999999997,18.700000000000003,3,79,14
S00158,"Lakemere, NJ",NORTH,Large Town,1529304.063,1124711.154,1277500.991,892706.1938,1,73725,718,90417,77661,186322,20.35,27.64,13.91,1,15,2
S00159,"Clearheights, PA",NORTH,Large Town,1215635.685,1125560.647,1346200.952,1145330.07,1,125021,754,74278,137551,266706,15.030000000000001,68.4,6.49,1,22,1
S00160,"Grayhollow, NC",SOUTH,Rural,244472.13,260075.3829,301253.8771,251896.4952,4,31125,52,54385,42108,73575,7.9799999999999995,22.59,22.57,0,9,2
S00161,"Bluecliff, GA",SOUTH,Large Town,476479.231,471723.6973,475562.069,566315.4068,1,96251,367,91200,99834,291303,20.2,4.6,39.730000000000004,1,22,5
