Store ID,Store Name,Division,n_weeks,Actual_Total,Predicted_Total,WAPE_pct,Bias_pct,RMSE,Q1_Bias,Q2_Bias,Q3_Bias,Q4_Bias,abs_bias,target_status,role_of_store,Plan_Total,Plan_Bias_pct,Plan_WAPE_pct,Model_Improvement_pp
S00326,"Coppercove, CA",WEST,13,19340819.0,18018502.0,11.01,-6.84,258602.0,,,-11.1,-3.8,6.84,Under-Targeted,Growth,17665897.6318,-8.660033311929553,8.660033311929553,-2.349966688070447
S01083,"Ironridge, NY",NORTH,13,38542892.0,35919228.0,7.52,-6.81,301554.0,,,-9.9,-4.5,6.81,Under-Targeted,Maintain,36026536.0,-6.528716111909818,6.528716111909818,-0.991283888090182
S01152,"Blackcliff, NY",NORTH,13,20906541.0,19486930.0,13.39,-6.79,288749.0,,,-2.4,-9.3,6.79,Under-Targeted,Neutral,19255391.3153,-7.8977659896010595,7.8977659896010595,-5.492234010398941
S00094,"Wolfbay, TX",SOUTH,13,2490965.0,2659817.0,12.61,6.78,26522.0,,,3.0,9.4,6.78,Over-Targeted,Defend,2512276.7316,0.8555612624023243,0.8555612624023243,-11.754438737597676
S00959,"Bluerun, OH",NORTH,13,2219308.0,2369618.0,9.22,6.77,18280.0,,,3.7,9.0,6.77,Over-Targeted,Defend,2330262.5,4.999508855913645,4.999508855913645,-4.220491144086355
S01430,"Wolfside, AL",SOUTH,13,3528383.0,3289842.0,9.03,-6.76,29707.0,,,-3.7,-8.6,6.76,Under-Targeted,Growth,3221235.6822,-8.705044713116457,8.705044713116457,-0.3249552868835419
S01530,"Crystalhold, CA",WEST,13,13246115.0,12360358.0,11.03,-6.69,159425.0,,,-4.3,-8.1,6.69,Under-Targeted,Growth,12980972.7971,-2.001660131291325,2.001660131291325,-9.028339868708674
S01269,"Stonesprings, NH",NORTH,12,19164003.0,17890346.0,11.98,-6.65,211999.0,,,-7.9,-5.7,6.65,Under-Targeted,Neutral,17876851.434,-6.716506807059046,6.716506807059046,-5.263493192940954
S01395,"Ironhollow, GA",SOUTH,13,1805314.0,1923384.0,8.84,6.54,14507.0,,,6.0,6.9,6.54,Over-Targeted,Neutral,1922582.25,6.4957259512749586,6.4957259512749586,-2.3442740487250413
S00402,"Stonemont, KS",WEST,13,7152066.0,6686093.0,9.62,-6.52,70112.0,,,-2.4,-9.1,6.52,Under-Targeted,Growth,6444672.1536,-9.890762283233965,9.890762283233965,0.27076228323396556
S01696,"Bearbay, WA",WEST,13,2071965.0,2206595.0,8.37,6.5,18487.0,,,6.5,6.5,6.5,Over-Targeted,Defend,2215871.9147,6.945431737505222,6.945431737505222,-1.4245682624947769
S00253,"Ironreach, KS",WEST,13,8388380.0,7846330.0,9.59,-6.46,71088.0,,,-4.5,-7.7,6.46,Under-Targeted,Neutral,7202579.6898,-14.13622547142595,14.13622547142595,4.5462254714259505
S00842,"Frostwood, WI",NORTH,13,2094002.0,2227968.0,13.38,6.4,24119.0,,,2.1,9.5,6.4,Over-Targeted,Defend,1899863.0,-9.271194583386261,9.271194583386261,-4.108805416613739
S00869,"Cedarport, CO",WEST,13,7078195.0,6625894.0,17.15,-6.39,115979.0,,,-7.5,-5.6,6.39,Under-Targeted,Maintain,6107705.1885,-13.710978738223515,13.710978738223515,-3.4390212617764835
S01136,"Cleardale, CA",WEST,13,14875899.0,13931884.0,9.31,-6.35,136853.0,,,-9.2,-4.7,6.35,Under-Targeted,High Growth,14462171.8659,-2.7811907979477373,2.7811907979477373,-6.528809202052264
S00784,"Vanbay, ID",WEST,13,48334988.0,51368256.0,9.57,6.28,453888.0,,,11.2,2.9,6.28,Over-Targeted,Growth,43354524.0,-10.304055521850962,10.304055521850962,0.7340555218509621
S01021,"Frostgard, NJ",NORTH,13,1923852.0,2044311.0,8.14,6.26,15389.0,,,5.1,7.1,6.26,Over-Targeted,Defend,1918172.5,-0.2952150165397338,0.2952150165397338,-7.844784983460267
S01731,"Royalmesa, IA",NORTH,13,10961100.0,10279370.0,9.5,-6.22,125459.0,,,0.9,-10.4,6.22,Under-Targeted,High Growth,10227732.2744,-6.69063985913823,6.69063985913823,-2.80936014086177
S00230,"Lowbend, NY",NORTH,13,24030489.0,22535630.0,9.13,-6.22,207836.0,,,-7.1,-5.6,6.22,Under-Targeted,Maintain,25551881.794,6.33109377840792,6.33109377840792,-2.7989062215920804
S00585,"Ashwood, VA",NORTH,13,18128210.0,17027406.0,8.88,-6.07,179229.0,,,-0.1,-9.8,6.07,Under-Targeted,High Growth,16653698.342,-8.13379621043666,8.13379621043666,-0.7462037895633404
S01534,"Shadowgate, IL",NORTH,13,32125774.0,30180300.0,8.23,-6.06,251814.0,,,-3.7,-7.6,6.06,Under-Targeted,Growth,30877692.91,-3.8849837205478686,3.8849837205478686,-4.345016279452132
S01704,"Maplejunction, TX",SOUTH,13,15617835.0,14672872.0,9.55,-6.05,155066.0,,,-1.0,-9.1,6.05,Under-Targeted,Growth,14306854.6448,-8.394123482544156,8.394123482544156,-1.1558765174558445
S00794,"Brightplains, WY",WEST,13,12470888.0,11725020.0,10.74,-5.98,129700.0,,,-5.0,-6.6,5.98,Under-Targeted,High Growth,11035304.2561,-11.511479727025046,11.511479727025046,0.7714797270250457
S01512,"Rivside, AZ",WEST,13,21276086.0,20005852.0,10.83,-5.97,233268.0,,,-6.5,-5.7,5.97,Under-Targeted,High Growth,19835915.122,-6.76896529747059,6.76896529747059,-4.06103470252941
S00519,"Bluefall, NC",SOUTH,13,2086548.0,2210122.0,12.51,5.92,24661.0,,,5.7,6.1,5.92,Over-Targeted,Defend,2067793.5,-0.8988290707906071,0.8988290707906071,-11.611170929209393
S00386,"Sageheights, NC",SOUTH,13,12775349.0,13530723.0,9.39,5.91,113362.0,,,2.7,8.8,5.91,Over-Targeted,Maintain,12880045.7102,0.8195213312763554,0.8195213312763554,-8.570478668723645
S00913,"Greencross, OH",NORTH,13,7161090.0,6741054.0,9.59,-5.87,64088.0,,,-5.0,-6.4,5.87,Under-Targeted,Growth,6548588.6843,-8.553185558343774,8.553185558343774,-1.036814441656226
S01288,"Riverwood, CA",WEST,13,10973993.0,10334661.0,9.13,-5.83,107375.0,,,-5.0,-6.3,5.83,Under-Targeted,Growth,10722629.1012,-2.290541818278912,2.290541818278912,-6.839458181721088
S01068,"Coppercourt, UT",WEST,13,9247508.0,8710035.0,10.87,-5.81,91458.0,,,-5.0,-6.3,5.81,Under-Targeted,High Growth,9280542.5977,0.357227024837392,0.357227024837392,-10.512772975162607
S00049,"Whiteharbor, CO",WEST,13,6976576.0,7381481.0,7.85,5.8,55805.0,,,6.0,5.7,5.8,Over-Targeted,Defend,7062896.0609,1.2372840330270884,1.2372840330270884,-6.612715966972911
S00173,"Copperport, IL",NORTH,13,15285024.0,14401107.0,10.82,-5.78,166031.0,,,-2.9,-7.6,5.78,Under-Targeted,Growth,14730213.6579,-3.6297642849628495,3.6297642849628495,-7.190235715037151
S01093,"Stormcrest, IL",NORTH,13,27076397.0,25527848.0,13.09,-5.72,332035.0,,,-6.4,-5.2,5.72,Under-Targeted,Growth,26837191.62,-0.8834461246819469,0.8834461246819469,-12.206553875318052
S00172,"Riverisle, NJ",NORTH,13,17305621.0,16316264.0,8.74,-5.72,171842.0,,,-4.1,-6.8,5.72,Under-Targeted,High Growth,16099141.109199999,-6.971607033344837,6.971607033344837,-1.7683929666551634
S00022,"Winkeep, IA",NORTH,13,4355127.0,4106312.0,9.68,-5.71,46809.0,,,-3.7,-6.9,5.71,Under-Targeted,Neutral,4424762.3957,1.5989291632597677,1.5989291632597677,-8.081070836740231
S01366,"Brightrock, GA",SOUTH,13,3742443.0,3956297.0,9.54,5.71,33353.0,,,7.5,4.5,5.71,Over-Targeted,Neutral,4202012.4263,12.27993121872532,12.27993121872532,2.739931218725321
S01206,"Rivport, FL",SOUTH,13,3354210.0,3545611.0,8.48,5.71,29474.0,,,6.2,5.4,5.71,Over-Targeted,Defend,3546355.8337,5.728497431585972,5.728497431585972,-2.751502568414028
S01478,"Stormgrove, MO",WEST,13,2250619.0,2378682.0,8.9,5.69,21187.0,,,2.2,8.1,5.69,Over-Targeted,Defend,2181982.0077,-3.049693986409963,3.049693986409963,-5.850306013590037
S00654,"Stormbend, MD",NORTH,13,10214818.0,9638817.0,9.44,-5.64,101369.0,,,-3.8,-6.8,5.64,Under-Targeted,High Growth,9652743.8311,-5.502537283581558,5.502537283581558,-3.937462716418442
S01196,"Silvershire, SC",SOUTH,13,5352837.0,5051038.0,9.35,-5.64,47424.0,,,-4.4,-6.4,5.64,Under-Targeted,High Growth,5236151.9459999995,-2.1798731028051197,2.1798731028051197,-7.17012689719488
S01621,"Southtown, TX",SOUTH,13,13665873.0,12906167.0,10.23,-5.56,135886.0,,,0.8,-9.1,5.56,Under-Targeted,High Growth,12716962.7633,-6.943648874096812,6.943648874096812,-3.286351125903188
S01644,"Eastport, TX",SOUTH,13,2363426.0,2494739.0,7.88,5.56,16638.0,,,5.3,5.7,5.56,Over-Targeted,Defend,2514438.5,6.389559055371313,6.389559055371313,-1.4904409446286868
S00032,"Oakrun, VA",NORTH,13,6868359.0,7247376.0,7.65,5.52,51231.0,,,8.8,3.3,5.52,Over-Targeted,Neutral,6508518.3224,-5.239107006491653,5.239107006491653,-2.410892993508347
S01557,"Stormrock, GA",SOUTH,13,25106452.0,26482142.0,6.51,5.48,157021.0,,,6.6,4.7,5.48,Over-Targeted,Growth,26421124.0,5.236391028091106,5.236391028091106,-1.273608971908894
S00718,"Eastside, IA",NORTH,13,9461552.0,8945311.0,10.73,-5.46,97474.0,,,-3.7,-6.5,5.46,Under-Targeted,Growth,9368803.82,-0.9802639144191112,0.9802639144191112,-9.749736085580889
S01198,"Winview, FL",SOUTH,13,35391833.0,33480168.0,11.41,-5.4,486716.0,,,-13.4,0.2,5.4,Under-Targeted,Neutral,33114852.445,-6.433632739508009,6.433632739508009,-4.976367260491991
S00871,"Rivhollow, TN",SOUTH,13,35208247.0,33320546.0,9.17,-5.36,382840.0,,,-7.4,-4.0,5.36,Under-Targeted,High Growth,33732028.392000005,-4.192820528667602,4.192820528667602,-4.977179471332398
S00287,"Irongrove, NV",WEST,13,12077065.0,11433687.0,9.42,-5.33,128686.0,,,0.8,-8.8,5.33,Under-Targeted,High Growth,11200311.8537,-7.2596541154659615,7.2596541154659615,-2.1603458845340384
S01114,"Goldplains, PA",NORTH,13,63783268.0,67170150.0,7.37,5.31,479762.0,,,3.8,6.3,5.31,Over-Targeted,Maintain,66362584.0,4.043875581915934,4.043875581915934,-3.326124418084066
S01121,"Sageridge, CA",WEST,13,34637980.0,32804642.0,9.94,-5.29,315423.0,,,-0.2,-8.2,5.29,Under-Targeted,High Growth,35110060.392,1.3628981597656595,1.3628981597656595,-8.57710184023434
S01278,"Eaglewood, CO",WEST,13,2126145.0,2237875.0,7.62,5.26,18300.0,,,6.1,4.7,5.26,Over-Targeted,Growth,2043083.75,-3.9066597057115104,3.9066597057115104,-3.7133402942884897
S00367,"Bluemark, GA",SOUTH,13,13363571.0,14065795.0,14.0,5.25,182695.0,,,13.2,0.8,5.25,Over-Targeted,Neutral,14743466.9534,10.325802537360715,10.325802537360715,-3.6741974626392846
S00773,"Morharbor, TX",SOUTH,13,2657322.0,2796632.0,12.39,5.24,30646.0,,,9.7,2.7,5.24,Over-Targeted,High Growth,2342571.4648,-11.844651690687083,11.844651690687083,-0.5453483093129172
S01429,"Stormcross, CO",WEST,13,1795271.0,1889156.0,8.99,5.23,17045.0,,,1.6,7.7,5.23,Over-Targeted,Defend,1763946.8038299999,-1.7448171429271753,1.7448171429271753,-7.245182857072825
S00979,"Southgate, IL",NORTH,13,7379450.0,6994280.0,12.64,-5.22,88407.0,,,-1.9,-7.3,5.22,Under-Targeted,Maintain,6751010.3462000005,-8.51607713040944,8.51607713040944,-4.12392286959056
S00903,"Pinejunction, AZ",WEST,13,7604922.0,7211000.0,10.19,-5.18,74606.0,,,-8.4,-3.1,5.18,Under-Targeted,High Growth,7364469.0976,-3.161806293345284,3.161806293345284,-7.028193706654715
S01339,"Blackstrand, MN",WEST,13,9498129.0,9007817.0,7.5,-5.16,72908.0,,,-0.6,-8.0,5.16,Under-Targeted,Growth,9856279.425999999,3.770747122933359,3.770747122933359,-3.729252877066641
S00624,"Galharbor, NC",SOUTH,13,6827935.0,6476664.0,7.64,-5.14,48971.0,,,-3.8,-6.0,5.14,Under-Targeted,High Growth,6690492.5156000005,-2.0129436557319234,2.0129436557319234,-5.627056344268077
S00816,"Eastcrest, LA",SOUTH,13,8419410.0,7987576.0,7.83,-5.13,65114.0,,,-3.0,-6.5,5.13,Under-Targeted,High Growth,7756318.9772,-7.875742157704642,7.875742157704642,0.04574215770464196
S01011,"Graniterock, NY",NORTH,13,8018170.0,7611351.0,10.13,-5.07,88080.0,,,0.5,-8.5,5.07,Under-Targeted,Growth,7583141.5105,-5.425533376069604,5.425533376069604,-4.704466623930397
S01063,"Goldmesa, IL",NORTH,13,4400935.0,4179664.0,13.73,-5.03,56274.0,,,-3.9,-5.7,5.03,Under-Targeted,Maintain,4396125.1129,-0.10929239127594328,0.10929239127594328,-13.620707608724057
S00309,"Galhaven, FL",SOUTH,13,10710276.0,10171383.0,7.05,-5.03,69246.0,,,-7.6,-3.5,5.03,Under-Targeted,Neutral,10411557.4365,-2.789083712688638,2.789083712688638,-4.260916287311362
S01655,"Lakeharbor, IA",NORTH,13,8147364.0,7737289.0,8.91,-5.03,88943.0,,,-3.2,-6.2,5.03,Under-Targeted,Maintain,8095838.738,-0.6324163496316122,0.6324163496316122,-8.277583650368388
S00401,"Stonerock, PA",NORTH,13,31692420.0,30103448.0,8.41,-5.01,269607.0,,,-8.6,-2.4,5.01,Under-Targeted,Neutral,30475876.0,-3.8385961059458378,3.8385961059458378,-4.571403894054162
S00078,"Graniteview, CA",WEST,13,4202647.0,3992123.0,8.56,-5.01,30918.0,,,-6.9,-3.9,5.01,Under-Targeted,High Growth,4344692.3104,3.3799010575953643,3.3799010575953643,-5.180098942404636
S01038,"Highheights, CA",WEST,13,14396431.0,13692925.0,8.43,-4.89,124021.0,,,-7.5,-3.2,4.89,Well-Calibrated,High Growth,14211194.7454,-1.2866817796716397,1.2866817796716397,-7.14331822032836
S00699,"Greenjunction, CA",WEST,13,7366116.0,7006971.0,11.16,-4.88,81671.0,,,-3.5,-5.7,4.88,Well-Calibrated,Defend,7187759.5837,-2.42130881865015,2.42130881865015,-8.73869118134985
S00721,"Blackgate, TX",WEST,13,13104444.0,12464302.0,7.12,-4.88,94038.0,,,-4.9,-4.9,4.88,Well-Calibrated,Growth,11737265.0514,-10.43294128770362,10.43294128770362,3.3129412877036204
S01382,"Eastridge, IL",NORTH,13,1418020.0,1487175.0,9.08,4.88,16128.0,,,4.8,4.9,4.88,Well-Calibrated,Defend,1346679.0,-5.031029181534817,5.031029181534817,-4.048970818465183
S01034,"Foxfield, CA",WEST,13,17097453.0,16264315.0,8.6,-4.87,149323.0,,,-2.8,-6.1,4.87,Well-Calibrated,Growth,17326073.601,1.337161745670538,1.337161745670538,-7.262838254329462
S01496,"Lowvalley, NJ",NORTH,13,16826546.0,16013903.0,6.52,-4.83,103892.0,,,-3.6,-5.6,4.83,Well-Calibrated,Maintain,15961438.646200001,-5.141324629546663,5.141324629546663,-1.3786753704533368
S01043,"Wolfheights, AR",WEST,13,14303611.0,13615196.0,5.93,-4.81,88376.0,,,-3.9,-5.4,4.81,Well-Calibrated,Growth,13305042.0934,-6.981236462596755,6.981236462596755,1.051236462596755
S00262,"Blackwood, NC",SOUTH,13,52173544.0,54680970.0,6.48,4.81,369732.0,,,4.6,5.0,4.81,Well-Calibrated,Neutral,53790656.0,3.0994865903684823,3.0994865903684823,-3.380513409631518
S00153,"Foxreach, OH",NORTH,13,1991270.0,2086616.0,7.87,4.79,14651.0,,,7.0,3.2,4.79,Well-Calibrated,Defend,2086256.75,4.7701592451048835,4.7701592451048835,-3.0998407548951166
S00290,"Starford, ND",WEST,13,9437608.0,8986469.0,8.05,-4.78,72672.0,,,-3.3,-5.7,4.78,Well-Calibrated,High Growth,9548497.4682,1.1749742964530843,1.1749742964530843,-6.875025703546917
S01441,"Silversprings, CO",WEST,13,10235753.0,9746685.0,10.4,-4.78,106061.0,,,-4.6,-4.9,4.78,Well-Calibrated,High Growth,10165480.0107,-0.6865444027420312,0.6865444027420312,-9.713455597257969
S00664,"Lowgard, IL",NORTH,13,11400339.0,10857770.0,8.32,-4.76,111843.0,,,-3.1,-5.8,4.76,Well-Calibrated,Neutral,11749332.809,3.061258169603556,3.061258169603556,-5.258741830396444
S00261,"Ironplains, NY",NORTH,13,13582424.0,12936677.0,7.09,-4.75,93628.0,,,-3.5,-5.6,4.75,Well-Calibrated,Maintain,13311932.4529,-1.9914821323498668,1.9914821323498668,-5.098517867650133
S01333,"Northpoint, OH",NORTH,13,2523144.0,2641986.0,12.97,4.71,31436.0,,,2.5,6.2,4.71,Well-Calibrated,Defend,2606665.6977,3.3102231858348117,3.3102231858348117,-9.65977681416519
S00289,"Riverstrand, AZ",WEST,13,15504006.0,14777521.0,7.31,-4.69,104626.0,,,-5.7,-4.1,4.69,Well-Calibrated,Maintain,14459211.216,-6.73886983789867,6.73886983789867,-0.5711301621013298
S01498,"Stonebend, FL",SOUTH,13,19721275.0,20646108.0,8.81,4.69,168401.0,,,4.7,4.7,4.69,Well-Calibrated,Maintain,20739209.093,5.161603866889937,5.161603866889937,-3.6483961331100634
S01604,"Vangrove, MO",WEST,13,3290943.0,3137305.0,7.09,-4.67,22707.0,,,-5.2,-4.3,4.67,Well-Calibrated,Growth,2985802.0349,-9.27214373205492,9.27214373205492,2.1821437320549197
S00485,"Cedarpoint, GA",SOUTH,13,6481199.0,6782965.0,6.54,4.66,40404.0,,,5.6,4.0,4.66,Well-Calibrated,Defend,7429823.2519000005,14.636554932196965,14.636554932196965,8.096554932196966
S00936,"Sunrock, VA",NORTH,13,19574636.0,18661666.0,6.86,-4.66,116578.0,,,-4.1,-5.0,4.66,Well-Calibrated,High Growth,18836642.608,-3.770151291702185,3.770151291702185,-3.0898487082978154
S01521,"Eastdale, NJ",NORTH,13,1905973.0,1994526.0,13.43,4.65,27069.0,,,4.5,4.8,4.65,Well-Calibrated,Defend,1860414.5,-2.390301436589081,2.390301436589081,-11.03969856341092
S01386,"Silverrock, TX",SOUTH,13,3450210.0,3290008.0,8.67,-4.64,29650.0,,,-4.1,-5.0,4.64,Well-Calibrated,High Growth,3299711.1674,-4.3620194886688015,4.3620194886688015,-4.307980511331198
S00796,"Sunrun, IN",NORTH,13,14383421.0,15048581.0,9.42,4.62,117645.0,,,3.8,5.2,4.62,Well-Calibrated,Maintain,15661826.178199999,8.888046718510145,8.888046718510145,-0.5319532814898551
S00120,"Eaglegard, PA",NORTH,13,7163439.0,6832184.0,7.36,-4.62,53074.0,,,-5.5,-4.0,4.62,Well-Calibrated,Neutral,6968254.6767,-2.7247293276316067,2.7247293276316067,-4.635270672368394
S00444,"Reddale, DE",NORTH,13,15233725.0,14531999.0,6.66,-4.61,93592.0,,,-3.8,-5.1,4.61,Well-Calibrated,High Growth,14545944.4228,-4.514854884146847,4.514854884146847,-2.145145115853153
S00602,"Graycliff, MI",NORTH,13,3428783.0,3586493.0,8.38,4.6,28210.0,,,4.9,4.4,4.6,Well-Calibrated,Defend,3516787.9014999997,2.5666512433128514,2.5666512433128514,-5.81334875668715
S01448,"Lowgrove, SD",WEST,13,22149565.0,23163502.0,6.36,4.58,144862.0,,,4.3,4.8,4.58,Well-Calibrated,Maintain,23407242.83,5.678115258696946,5.678115258696946,-0.6818847413030547
S01075,"Pinebend, OK",WEST,13,14203534.0,13556033.0,7.18,-4.56,96157.0,,,-2.5,-5.8,4.56,Well-Calibrated,Neutral,13930370.3228,-1.9232092322938834,1.9232092322938834,-5.256790767706116
S00210,"Ironrun, NC",SOUTH,13,6050617.0,5774998.0,10.61,-4.56,59932.0,,,-6.2,-3.4,4.56,Well-Calibrated,High Growth,5857717.0116,-3.1881044263750318,3.1881044263750318,-7.421895573624967
S00323,"Blackcove, WA",WEST,13,2209862.0,2310707.0,6.94,4.56,14387.0,,,5.9,3.6,4.56,Well-Calibrated,Defend,2057363.5263999999,-6.900814331392644,6.900814331392644,-0.03918566860735595
S00125,"Oakstrand, CA",WEST,13,6244528.0,5960566.0,9.59,-4.55,53995.0,,,-3.3,-5.3,4.55,Well-Calibrated,Defend,5702049.75,-8.687257868008599,8.687257868008599,-0.9027421319914009
S01194,"Moonhaven, CO",WEST,13,9938795.0,9486651.0,9.71,-4.55,90302.0,,,-1.5,-6.6,4.55,Well-Calibrated,High Growth,9108586.0578,-8.35321527609735,8.35321527609735,-1.356784723902651
S01615,"Rivermont, CT",NORTH,13,17882009.0,17069846.0,7.8,-4.54,146246.0,,,-11.0,0.5,4.54,Well-Calibrated,Maintain,17269642.57,-3.4244834011659413,3.4244834011659413,-4.375516598834059
S00960,"Blackjunction, TN",SOUTH,13,1635019.0,1708667.0,8.57,4.5,12354.0,,,-3.6,10.8,4.5,Well-Calibrated,Neutral,1677091.0302900001,2.5731829593417657,2.5731829593417657,-5.996817040658234
S00288,"Eaglehollow, TX",WEST,13,10832768.0,10345061.0,7.81,-4.5,74832.0,,,-3.9,-4.9,4.5,Well-Calibrated,Growth,10136949.3713,-6.423276384207613,6.423276384207613,-1.3867236157923868
S00998,"Royalport, OH",NORTH,13,2683340.0,2803548.0,8.74,4.48,23336.0,,,7.3,2.6,4.48,Well-Calibrated,Defend,2586870.7637,-3.5951178866636355,3.5951178866636355,-5.144882113336365
