Store ID,Store Name,Division,n_weeks,Actual_Total,Predicted_Total,WAPE_pct,Bias_pct,RMSE,Q1_Bias,Q2_Bias,Q3_Bias,Q4_Bias,abs_bias,target_status,role_of_store
S01061,"Winhold, CA",WEST,13,1649432.0,1.786498e+06,10.48,8.31,16295.0,,,11.4,6.4,8.31,Over-Targeted,Defend
S01293,"Crystalmesa, TX",WEST,13,5556963.0,6.018047e+06,8.92,8.3,48425.0,,,5.5,10.5,8.3,Over-Targeted,Defend
S00437,"Frostvalley, WA",WEST,13,1658586.0,1.794056e+06,8.58,8.17,13865.0,,,7.4,8.7,8.17,Over-Targeted,Defend
S01199,"Morbay, IA",WEST,13,14285556.0,1.3159294e+07,11.23,-7.88,173722.0,,,-4.9,-9.7,7.88,Under-Targeted,High Growth
S01138,"Stonegate, MI",NORTH,13,18007278.0,1.6592974e+07,13.25,-7.85,234771.0,,,-3.5,-10.6,7.85,Under-Targeted,Maintain
S00023,"Royalgrove, TX",SOUTH,13,6185633.0,5.704724e+06,14.01,-7.77,121141.0,,,-3.8,-10.0,7.77,Under-Targeted,High Growth
S00670,"Graykeep, CA",WEST,13,12324625.0,1.1375966e+07,11.92,-7.7,138816.0,,,-6.5,-8.4,7.7,Under-Targeted,High Growth
S01116,"Crystalheights, NC",SOUTH,13,37126262.0,3.9974836e+07,8.03,7.67,307601.0,,,6.7,8.4,7.67,Over-Targeted,Defend
S01455,"Cedarfield, LA",SOUTH,13,1630352.0,1.754299e+06,8.77,7.6,13459.0,,,8.5,7.1,7.6,Over-Targeted,Maintain
S01246,"Eagleford, IA",WEST,13,15158632.0,1.4045401e+07,11.4,-7.34,167079.0,,,-8.6,-6.5,7.34,Under-Targeted,High Growth
S01014,"Riversprings, NY",NORTH,13,26604259.0,2.4651018e+07,9.51,-7.34,213344.0,,,-8.0,-6.9,7.34,Under-Targeted,High Growth
S00502,"Redmark, CO",WEST,13,17670904.0,1.6383162e+07,9.99,-7.29,184132.0,,,0.8,-11.9,7.29,Under-Targeted,High Growth
S01703,"Foxdale, NJ",NORTH,13,8560846.0,7.93966e+06,7.54,-7.26,63654.0,,,-4.7,-8.8,7.26,Under-Targeted,Growth
S00026,"Copperbend, IA",NORTH,13,10537122.0,9.777066e+06,8.27,-7.21,87396.0,,,-5.8,-8.1,7.21,Under-Targeted,High Growth
S00535,"Brightdale, GA",SOUTH,13,23250979.0,2.1594056e+07,11.71,-7.13,287373.0,,,1.7,-11.9,7.13,Under-Targeted,High Growth
S00326,"Coppercove, CA",WEST,13,19340819.0,1.8018502e+07,11.01,-6.84,258602.0,,,-11.1,-3.8,6.84,Under-Targeted,Growth
S01083,"Ironridge, NY",NORTH,13,38542892.0,3.5919228e+07,7.52,-6.81,301554.0,,,-9.9,-4.5,6.81,Under-Targeted,Maintain
S01152,"Blackcliff, NY",NORTH,13,20906541.0,1.948693e+07,13.39,-6.79,288749.0,,,-2.4,-9.3,6.79,Under-Targeted,Neutral
S00094,"Wolfbay, TX",SOUTH,13,2490965.0,2.659817e+06,12.61,6.78,26522.0,,,3.0,9.4,6.78,Over-Targeted,Defend
S00959,"Bluerun, OH",NORTH,13,2219308.0,2.369618e+06,9.22,6.77,18280.0,,,3.7,9.0,6.77,Over-Targeted,Defend
S01430,"Wolfside, AL",SOUTH,13,3528383.0,3.289842e+06,9.03,-6.76,29707.0,,,-3.7,-8.6,6.76,Under-Targeted,Growth
S01530,"Crystalhold, CA",WEST,13,13246115.0,1.2360358e+07,11.03,-6.69,159425.0,,,-4.3,-8.1,6.69,Under-Targeted,Growth
S01269,"Stonesprings, NH",NORTH,12,19164003.0,1.7890346e+07,11.98,-6.65,211999.0,,,-7.9,-5.7,6.65,Under-Targeted,Neutral
S01395,"Ironhollow, GA",SOUTH,13,1805314.0,1.923384e+06,8.84,6.54,14507.0,,,6.0,6.9,6.54,Over-Targeted,Neutral
S00402,"Stonemont, KS",WEST,13,7152066.0,6.686093e+06,9.62,-6.52,70112.0,,,-2.4,-9.1,6.52,Under-Targeted,Growth
S01696,"Bearbay, WA",WEST,13,2071965.0,2.206595e+06,8.37,6.5,18487.0,,,6.5,6.5,6.5,Over-Targeted,Defend
S00253,"Ironreach, KS",WEST,13,8388380.0,7.84633e+06,9.59,-6.46,71088.0,,,-4.5,-7.7,6.46,Under-Targeted,Neutral
S00842,"Frostwood, WI",NORTH,13,2094002.0,2.227968e+06,13.38,6.4,24119.0,,,2.1,9.5,6.4,Over-Targeted,Defend
S00869,"Cedarport, CO",WEST,13,7078195.0,6.625894e+06,17.15,-6.39,115979.0,,,-7.5,-5.6,6.39,Under-Targeted,Maintain
S01136,"Cleardale, CA",WEST,13,14875899.0,1.3931884e+07,9.31,-6.35,136853.0,,,-9.2,-4.7,6.35,Under-Targeted,High Growth
S00784,"Vanbay, ID",WEST,13,48334988.0,5.1368256e+07,9.57,6.28,453888.0,,,11.2,2.9,6.28,Over-Targeted,Growth
S01021,"Frostgard, NJ",NORTH,13,1923852.0,2.044311e+06,8.14,6.26,15389.0,,,5.1,7.1,6.26,Over-Targeted,Defend
S01731,"Royalmesa, IA",NORTH,13,10961100.0,1.027937e+07,9.5,-6.22,125459.0,,,0.9,-10.4,6.22,Under-Targeted,High Growth
S00230,"Lowbend, NY",NORTH,13,24030489.0,2.253563e+07,9.13,-6.22,207836.0,,,-7.1,-5.6,6.22,Under-Targeted,Maintain
S00585,"Ashwood, VA",NORTH,13,18128210.0,1.7027406e+07,8.88,-6.07,179229.0,,,-0.1,-9.8,6.07,Under-Targeted,High Growth
S01534,"Shadowgate, IL",NORTH,13,32125774.0,3.01803e+07,8.23,-6.06,251814.0,,,-3.7,-7.6,6.06,Under-Targeted,Growth
S01704,"Maplejunction, TX",SOUTH,13,15617835.0,1.4672872e+07,9.55,-6.05,155066.0,,,-1.0,-9.1,6.05,Under-Targeted,Growth
S00794,"Brightplains, WY",WEST,13,12470888.0,1.172502e+07,10.74,-5.98,129700.0,,,-5.0,-6.6,5.98,Under-Targeted,High Growth
S01512,"Rivside, AZ",WEST,13,21276086.0,2.0005852e+07,10.83,-5.97,233268.0,,,-6.5,-5.7,5.97,Under-Targeted,High Growth
S00519,"Bluefall, NC",SOUTH,13,2086548.0,2.210122e+06,12.51,5.92,24661.0,,,5.7,6.1,5.92,Over-Targeted,Defend
S00386,"Sageheights, NC",SOUTH,13,12775349.0,1.3530723e+07,9.39,5.91,113362.0,,,2.7,8.8,5.91,Over-Targeted,Maintain
S00913,"Greencross, OH",NORTH,13,7161090.0,6.741054e+06,9.59,-5.87,64088.0,,,-5.0,-6.4,5.87,Under-Targeted,Growth
S01288,"Riverwood, CA",WEST,13,10973993.0,1.0334661e+07,9.13,-5.83,107375.0,,,-5.0,-6.3,5.83,Under-Targeted,Growth
S01068,"Coppercourt, UT",WEST,13,9247508.0,8.710035e+06,10.87,-5.81,91458.0,,,-5.0,-6.3,5.81,Under-Targeted,High Growth
S00049,"Whiteharbor, CO",WEST,13,6976576.0,7.381481e+06,7.85,5.8,55805.0,,,6.0,5.7,5.8,Over-Targeted,Defend
S00173,"Copperport, IL",NORTH,13,15285024.0,1.4401107e+07,10.82,-5.78,166031.0,,,-2.9,-7.6,5.78,Under-Targeted,Growth
S01093,"Stormcrest, IL",NORTH,13,27076397.0,2.5527848e+07,13.09,-5.72,332035.0,,,-6.4,-5.2,5.72,Under-Targeted,Growth
S00172,"Riverisle, NJ",NORTH,13,17305621.0,1.6316264e+07,8.74,-5.72,171842.0,,,-4.1,-6.8,5.72,Under-Targeted,High Growth
S00022,"Winkeep, IA",NORTH,13,4355127.0,4.106312e+06,9.68,-5.71,46809.0,,,-3.7,-6.9,5.71,Under-Targeted,Neutral
S01366,"Brightrock, GA",SOUTH,13,3742443.0,3.956297e+06,9.54,5.71,33353.0,,,7.5,4.5,5.71,Over-Targeted,Neutral
S01206,"Rivport, FL",SOUTH,13,3354210.0,3.545611e+06,8.48,5.71,29474.0,,,6.2,5.4,5.71,Over-Targeted,Defend
S01478,"Stormgrove, MO",WEST,13,2250619.0,2.378682e+06,8.9,5.69,21187.0,,,2.2,8.1,5.69,Over-Targeted,Defend
S00654,"Stormbend, MD",NORTH,13,10214818.0,9.638817e+06,9.44,-5.64,101369.0,,,-3.8,-6.8,5.64,Under-Targeted,High Growth
S01196,"Silvershire, SC",SOUTH,13,5352837.0,5.051038e+06,9.35,-5.64,47424.0,,,-4.4,-6.4,5.64,Under-Targeted,High Growth
S01621,"Southtown, TX",SOUTH,13,13665873.0,1.2906167e+07,10.23,-5.56,135886.0,,,0.8,-9.1,5.56,Under-Targeted,High Growth
S01644,"Eastport, TX",SOUTH,13,2363426.0,2.494739e+06,7.88,5.56,16638.0,,,5.3,5.7,5.56,Over-Targeted,Defend
S00032,"Oakrun, VA",NORTH,13,6868359.0,7.247376e+06,7.65,5.52,51231.0,,,8.8,3.3,5.52,Over-Targeted,Neutral
S01557,"Stormrock, GA",SOUTH,13,25106452.0,2.6482142e+07,6.51,5.48,157021.0,,,6.6,4.7,5.48,Over-Targeted,Growth
S00718,"Eastside, IA",NORTH,13,9461552.0,8.945311e+06,10.73,-5.46,97474.0,,,-3.7,-6.5,5.46,Under-Targeted,Growth
S01198,"Winview, FL",SOUTH,13,35391833.0,3.3480168e+07,11.41,-5.4,486716.0,,,-13.4,0.2,5.4,Under-Targeted,Neutral
S00871,"Rivhollow, TN",SOUTH,13,35208247.0,3.3320546e+07,9.17,-5.36,382840.0,,,-7.4,-4.0,5.36,Under-Targeted,High Growth
S00287,"Irongrove, NV",WEST,13,12077065.0,1.1433687e+07,9.42,-5.33,128686.0,,,0.8,-8.8,5.33,Under-Targeted,High Growth
S01114,"Goldplains, PA",NORTH,13,63783268.0,6.717015e+07,7.37,5.31,479762.0,,,3.8,6.3,5.31,Over-Targeted,Maintain
S01121,"Sageridge, CA",WEST,13,34637980.0,3.2804642e+07,9.94,-5.29,315423.0,,,-0.2,-8.2,5.29,Under-Targeted,High Growth
S01278,"Eaglewood, CO",WEST,13,2126145.0,2.237875e+06,7.62,5.26,18300.0,,,6.1,4.7,5.26,Over-Targeted,Growth
S00367,"Bluemark, GA",SOUTH,13,13363571.0,1.4065795e+07,14.0,5.25,182695.0,,,13.2,0.8,5.25,Over-Targeted,Neutral
S00773,"Morharbor, TX",SOUTH,13,2657322.0,2.796632e+06,12.39,5.24,30646.0,,,9.7,2.7,5.24,Over-Targeted,High Growth
S01429,"Stormcross, CO",WEST,13,1795271.0,1.889156e+06,8.99,5.23,17045.0,,,1.6,7.7,5.23,Over-Targeted,Defend
S00979,"Southgate, IL",NORTH,13,7379450.0,6.99428e+06,12.64,-5.22,88407.0,,,-1.9,-7.3,5.22,Under-Targeted,Maintain
S00903,"Pinejunction, AZ",WEST,13,7604922.0,7.211e+06,10.19,-5.18,74606.0,,,-8.4,-3.1,5.18,Under-Targeted,High Growth
S01339,"Blackstrand, MN",WEST,13,9498129.0,9.007817e+06,7.5,-5.16,72908.0,,,-0.6,-8.0,5.16,Under-Targeted,Growth
S00624,"Galharbor, NC",SOUTH,13,6827935.0,6.476664e+06,7.64,-5.14,48971.0,,,-3.8,-6.0,5.14,Under-Targeted,High Growth
S00816,"Eastcrest, LA",SOUTH,13,8419410.0,7.987576e+06,7.83,-5.13,65114.0,,,-3.0,-6.5,5.13,Under-Targeted,High Growth
S01011,"Graniterock, NY",NORTH,13,8018170.0,7.611351e+06,10.13,-5.07,88080.0,,,0.5,-8.5,5.07,Under-Targeted,Growth
S01063,"Goldmesa, IL",NORTH,13,4400935.0,4.179664e+06,13.73,-5.03,56274.0,,,-3.9,-5.7,5.03,Under-Targeted,Maintain
S00309,"Galhaven, FL",SOUTH,13,10710276.0,1.0171383e+07,7.05,-5.03,69246.0,,,-7.6,-3.5,5.03,Under-Targeted,Neutral
S01655,"Lakeharbor, IA",NORTH,13,8147364.0,7.737289e+06,8.91,-5.03,88943.0,,,-3.2,-6.2,5.03,Under-Targeted,Maintain
S00401,"Stonerock, PA",NORTH,13,31692420.0,3.0103448e+07,8.41,-5.01,269607.0,,,-8.6,-2.4,5.01,Under-Targeted,Neutral
S00078,"Graniteview, CA",WEST,13,4202647.0,3.992123e+06,8.56,-5.01,30918.0,,,-6.9,-3.9,5.01,Under-Targeted,High Growth
S01038,"Highheights, CA",WEST,13,14396431.0,1.3692925e+07,8.43,-4.89,124021.0,,,-7.5,-3.2,4.89,Well-Calibrated,High Growth
S00699,"Greenjunction, CA",WEST,13,7366116.0,7.006971e+06,11.16,-4.88,81671.0,,,-3.5,-5.7,4.88,Well-Calibrated,Defend
S00721,"Blackgate, TX",WEST,13,13104444.0,1.2464302e+07,7.12,-4.88,94038.0,,,-4.9,-4.9,4.88,Well-Calibrated,Growth
S01382,"Eastridge, IL",NORTH,13,1418020.0,1.487175e+06,9.08,4.88,16128.0,,,4.8,4.9,4.88,Well-Calibrated,Defend
S01034,"Foxfield, CA",WEST,13,17097453.0,1.6264315e+07,8.6,-4.87,149323.0,,,-2.8,-6.1,4.87,Well-Calibrated,Growth
S01496,"Lowvalley, NJ",NORTH,13,16826546.0,1.6013903e+07,6.52,-4.83,103892.0,,,-3.6,-5.6,4.83,Well-Calibrated,Maintain
S01043,"Wolfheights, AR",WEST,13,14303611.0,1.3615196e+07,5.93,-4.81,88376.0,,,-3.9,-5.4,4.81,Well-Calibrated,Growth
S00262,"Blackwood, NC",SOUTH,13,52173544.0,5.468097e+07,6.48,4.81,369732.0,,,4.6,5.0,4.81,Well-Calibrated,Neutral
S00153,"Foxreach, OH",NORTH,13,1991270.0,2.086616e+06,7.87,4.79,14651.0,,,7.0,3.2,4.79,Well-Calibrated,Defend
S00290,"Starford, ND",WEST,13,9437608.0,8.986469e+06,8.05,-4.78,72672.0,,,-3.3,-5.7,4.78,Well-Calibrated,High Growth
S01441,"Silversprings, CO",WEST,13,10235753.0,9.746685e+06,10.4,-4.78,106061.0,,,-4.6,-4.9,4.78,Well-Calibrated,High Growth
S00664,"Lowgard, IL",NORTH,13,11400339.0,1.085777e+07,8.32,-4.76,111843.0,,,-3.1,-5.8,4.76,Well-Calibrated,Neutral
S00261,"Ironplains, NY",NORTH,13,13582424.0,1.2936677e+07,7.09,-4.75,93628.0,,,-3.5,-5.6,4.75,Well-Calibrated,Maintain
S01333,"Northpoint, OH",NORTH,13,2523144.0,2.641986e+06,12.97,4.71,31436.0,,,2.5,6.2,4.71,Well-Calibrated,Defend
S00289,"Riverstrand, AZ",WEST,13,15504006.0,1.4777521e+07,7.31,-4.69,104626.0,,,-5.7,-4.1,4.69,Well-Calibrated,Maintain
S01498,"Stonebend, FL",SOUTH,13,19721275.0,2.0646108e+07,8.81,4.69,168401.0,,,4.7,4.7,4.69,Well-Calibrated,Maintain
S01604,"Vangrove, MO",WEST,13,3290943.0,3.137305e+06,7.09,-4.67,22707.0,,,-5.2,-4.3,4.67,Well-Calibrated,Growth
S00485,"Cedarpoint, GA",SOUTH,13,6481199.0,6.782965e+06,6.54,4.66,40404.0,,,5.6,4.0,4.66,Well-Calibrated,Defend
S00936,"Sunrock, VA",NORTH,13,19574636.0,1.8661666e+07,6.86,-4.66,116578.0,,,-4.1,-5.0,4.66,Well-Calibrated,High Growth
S01521,"Eastdale, NJ",NORTH,13,1905973.0,1.994526e+06,13.43,4.65,27069.0,,,4.5,4.8,4.65,Well-Calibrated,Defend
S01386,"Silverrock, TX",SOUTH,13,3450210.0,3.290008e+06,8.67,-4.64,29650.0,,,-4.1,-5.0,4.64,Well-Calibrated,High Growth
S00796,"Sunrun, IN",NORTH,13,14383421.0,1.5048581e+07,9.42,4.62,117645.0,,,3.8,5.2,4.62,Well-Calibrated,Maintain
S00120,"Eaglegard, PA",NORTH,13,7163439.0,6.832184e+06,7.36,-4.62,53074.0,,,-5.5,-4.0,4.62,Well-Calibrated,Neutral
S00444,"Reddale, DE",NORTH,13,15233725.0,1.4531999e+07,6.66,-4.61,93592.0,,,-3.8,-5.1,4.61,Well-Calibrated,High Growth
S00602,"Graycliff, MI",NORTH,13,3428783.0,3.586493e+06,8.38,4.6,28210.0,,,4.9,4.4,4.6,Well-Calibrated,Defend
S01448,"Lowgrove, SD",WEST,13,22149565.0,2.3163502e+07,6.36,4.58,144862.0,,,4.3,4.8,4.58,Well-Calibrated,Maintain
S01075,"Pinebend, OK",WEST,13,14203534.0,1.3556033e+07,7.18,-4.56,96157.0,,,-2.5,-5.8,4.56,Well-Calibrated,Neutral
S00210,"Ironrun, NC",SOUTH,13,6050617.0,5.774998e+06,10.61,-4.56,59932.0,,,-6.2,-3.4,4.56,Well-Calibrated,High Growth
S00323,"Blackcove, WA",WEST,13,2209862.0,2.310707e+06,6.94,4.56,14387.0,,,5.9,3.6,4.56,Well-Calibrated,Defend
S00125,"Oakstrand, CA",WEST,13,6244528.0,5.960566e+06,9.59,-4.55,53995.0,,,-3.3,-5.3,4.55,Well-Calibrated,Defend
S01194,"Moonhaven, CO",WEST,13,9938795.0,9.486651e+06,9.71,-4.55,90302.0,,,-1.5,-6.6,4.55,Well-Calibrated,High Growth
S01615,"Rivermont, CT",NORTH,13,17882009.0,1.7069846e+07,7.8,-4.54,146246.0,,,-11.0,0.5,4.54,Well-Calibrated,Maintain
S00960,"Blackjunction, TN",SOUTH,13,1635019.0,1.708667e+06,8.57,4.5,12354.0,,,-3.6,10.8,4.5,Well-Calibrated,Neutral
S00288,"Eaglehollow, TX",WEST,13,10832768.0,1.0345061e+07,7.81,-4.5,74832.0,,,-3.9,-4.9,4.5,Well-Calibrated,Growth
S00998,"Royalport, OH",NORTH,13,2683340.0,2.803548e+06,8.74,4.48,23336.0,,,7.3,2.6,4.48,Well-Calibrated,Defend
S00266,"Wolffall, NC",SOUTH,13,12176667.0,1.1631088e+07,6.78,-4.48,80070.0,,,-4.3,-4.6,4.48,Well-Calibrated,High Growth
S00084,"Royalford, FL",SOUTH,13,28853287.0,3.0142124e+07,8.85,4.47,268177.0,,,2.6,5.6,4.47,Well-Calibrated,Defend
S01578,"Cedarcourt, WA",WEST,13,2420881.0,2.529172e+06,8.13,4.47,19079.0,,,4.6,4.4,4.47,Well-Calibrated,Neutral
S00707,"Pineheights, NC",SOUTH,13,10446204.0,9.982651e+06,7.41,-4.44,72970.0,,,-3.2,-5.2,4.44,Well-Calibrated,Neutral
S01384,"Graybend, CA",WEST,13,60884246.0,5.81837e+07,8.33,-4.44,570379.0,,,1.1,-7.7,4.44,Well-Calibrated,Growth
S00443,"Royalmark, TX",SOUTH,13,18325929.0,1.7514966e+07,7.76,-4.43,136369.0,,,-5.8,-3.6,4.43,Well-Calibrated,High Growth
S01234,"Sagehold, CA",WEST,13,5498706.0,5.255059e+06,9.35,-4.43,48724.0,,,-4.4,-4.4,4.43,Well-Calibrated,Growth
S01254,"Ironbay, CA",WEST,13,4790613.0,4.579237e+06,7.98,-4.41,34469.0,,,-4.8,-4.2,4.41,Well-Calibrated,Growth
S00764,"Northgard, MN",WEST,13,1815127.0,1.735418e+06,12.55,-4.39,22009.0,,,-7.3,-2.5,4.39,Well-Calibrated,Defend
S01321,"Goldford, NY",NORTH,13,10050902.0,1.0492455e+07,9.3,4.39,84036.0,,,0.2,8.0,4.39,Well-Calibrated,Defend
S00698,"Royalplains, TX",SOUTH,13,32130511.0,3.353599e+07,6.68,4.37,213500.0,,,6.5,3.0,4.37,Well-Calibrated,Growth
S01718,"Starstrand, CA",WEST,13,3872107.0,3.703784e+06,8.26,-4.35,36912.0,,,-1.1,-6.3,4.35,Well-Calibrated,Growth
S00782,"Blackhold, TX",WEST,13,10600054.0,1.0139391e+07,6.09,-4.35,57254.0,,,-3.2,-5.1,4.35,Well-Calibrated,Neutral
S01445,"Pinegate, MD",NORTH,13,55167168.0,5.277428e+07,7.02,-4.34,339880.0,,,-6.5,-2.9,4.34,Well-Calibrated,Growth
S01340,"Golddale, VA",NORTH,13,20178832.0,1.9302482e+07,6.16,-4.34,119569.0,,,-5.6,-3.5,4.34,Well-Calibrated,Maintain
S00385,"Whitedor, NJ",NORTH,13,14521122.0,1.389169e+07,7.16,-4.33,103618.0,,,0.0,-7.0,4.33,Well-Calibrated,Maintain
S00845,"Goldmont, FL",SOUTH,13,6080819.0,5.81743e+06,6.53,-4.33,40367.0,,,-5.8,-3.4,4.33,Well-Calibrated,High Growth
S01474,"Foxstrand, MI",NORTH,13,6950983.0,7.25152e+06,9.53,4.32,55697.0,,,2.2,5.9,4.32,Well-Calibrated,Defend
S00146,"Royaldale, FL",SOUTH,13,5518587.0,5.755662e+06,6.98,4.3,36690.0,,,5.7,3.5,4.3,Well-Calibrated,Maintain
S00014,"Blackwatch, CA",WEST,13,5320553.0,5.092236e+06,11.41,-4.29,55948.0,,,-0.5,-6.6,4.29,Well-Calibrated,Neutral
S00427,"Stormfield, CA",WEST,13,6979253.0,6.680143e+06,9.09,-4.29,69121.0,,,-8.3,-1.7,4.29,Well-Calibrated,Maintain
S00769,"Pineharbor, CA",WEST,13,11767906.0,1.1263368e+07,11.22,-4.29,123037.0,,,-4.0,-4.5,4.29,Well-Calibrated,Maintain
S00457,"Shadowrun, AR",WEST,13,2573651.0,2.683223e+06,6.75,4.26,15665.0,,,8.5,1.6,4.26,Well-Calibrated,Growth
S01473,"Eagleview, PA",NORTH,13,9221414.0,8.828205e+06,6.06,-4.26,50878.0,,,-6.1,-3.0,4.26,Well-Calibrated,Growth
S00596,"Crystalstrand, PA",NORTH,13,35273776.0,3.67659e+07,5.44,4.23,198310.0,,,3.5,4.8,4.23,Well-Calibrated,Defend
S00754,"Sunmont, CA",WEST,13,13233485.0,1.2673055e+07,8.33,-4.23,109755.0,,,-1.7,-5.7,4.23,Well-Calibrated,Growth
S00821,"Bearmark, AR",WEST,13,19828338.0,1.8989168e+07,8.82,-4.23,189484.0,,,-5.4,-3.5,4.23,Well-Calibrated,Growth
S00906,"Northwood, NY",NORTH,13,1904898.0,1.985352e+06,6.6,4.22,13220.0,,,0.7,6.9,4.22,Well-Calibrated,Defend
S00332,"Starbend, NJ",NORTH,13,9744069.0,9.333564e+06,7.78,-4.21,81072.0,,,-1.8,-5.8,4.21,Well-Calibrated,Maintain
S00539,"Clearshire, FL",SOUTH,13,32223476.0,3.086551e+07,9.08,-4.21,272347.0,,,-3.4,-4.7,4.21,Well-Calibrated,High Growth
S00570,"Greenfield, IL",NORTH,13,9883546.0,9.46821e+06,8.83,-4.2,83080.0,,,-1.1,-6.1,4.2,Well-Calibrated,Maintain
S00753,"Grayheights, CT",NORTH,13,28213266.0,2.7029052e+07,5.94,-4.2,147046.0,,,-4.9,-3.7,4.2,Well-Calibrated,Neutral
S00379,"Galview, PA",NORTH,13,27699285.0,2.6539976e+07,8.47,-4.19,212835.0,,,-2.3,-5.4,4.19,Well-Calibrated,Maintain
S00413,"Clearcamp, IL",NORTH,13,10253577.0,9.825183e+06,8.44,-4.18,79030.0,,,-1.7,-5.7,4.18,Well-Calibrated,Growth
S00679,"Southvalley, MI",NORTH,13,10491467.0,1.0053634e+07,8.03,-4.17,75962.0,,,-3.3,-4.8,4.17,Well-Calibrated,Neutral
S00853,"Brightcamp, OR",WEST,13,15029198.0,1.4403872e+07,8.32,-4.16,116666.0,,,-6.0,-2.8,4.16,Well-Calibrated,Growth
S01169,"Vanmont, FL",SOUTH,13,3472009.0,3.61543e+06,6.49,4.13,21420.0,,,2.5,5.1,4.13,Well-Calibrated,Defend
S00925,"Beartown, PA",NORTH,13,7349619.0,7.046596e+06,6.89,-4.12,43957.0,,,-4.8,-3.6,4.12,Well-Calibrated,Maintain
S00890,"Stormhollow, NY",NORTH,13,7015529.0,6.726728e+06,7.03,-4.12,47658.0,,,-2.5,-5.2,4.12,Well-Calibrated,Defend
S01317,"Morhaven, CA",WEST,13,15087132.0,1.4466834e+07,10.62,-4.11,160294.0,,,-4.8,-3.7,4.11,Well-Calibrated,Defend
S01486,"Southridge, FL",SOUTH,13,5841974.0,6.08221e+06,5.81,4.11,39729.0,,,5.9,3.0,4.11,Well-Calibrated,Defend
S01491,"Greencamp, MA",NORTH,13,8711940.0,8.35469e+06,9.48,-4.1,86370.0,,,-5.6,-3.1,4.1,Well-Calibrated,Growth
S01108,"Graniteheights, SC",SOUTH,13,5611288.0,5.381654e+06,9.91,-4.09,49313.0,,,-4.0,-4.1,4.09,Well-Calibrated,High Growth
S01390,"Southcrest, TX",SOUTH,13,15855593.0,1.5208216e+07,6.38,-4.08,92524.0,,,-2.5,-5.1,4.08,Well-Calibrated,Growth
S00048,"Mapleridge, NY",NORTH,13,30760515.0,2.9504364e+07,6.38,-4.08,182092.0,,,-3.3,-4.6,4.08,Well-Calibrated,Growth
S01666,"Northhaven, MI",NORTH,13,7071913.0,6.783458e+06,9.17,-4.08,52421.0,,,-3.9,-4.2,4.08,Well-Calibrated,Maintain
S01297,"Silverfield, SC",SOUTH,13,5934220.0,5.69354e+06,6.61,-4.06,38644.0,,,-1.4,-5.8,4.06,Well-Calibrated,High Growth
S00948,"Riverbrook, MS",SOUTH,13,8406364.0,8.066261e+06,5.99,-4.05,53733.0,,,-3.5,-4.4,4.05,Well-Calibrated,High Growth
S00368,"Galmesa, FL",SOUTH,13,20079939.0,1.9268608e+07,7.0,-4.04,132253.0,,,-1.8,-5.4,4.04,Well-Calibrated,Growth
S00456,"Bearcourt, TN",SOUTH,13,11710517.0,1.1237662e+07,7.01,-4.04,80986.0,,,-3.7,-4.3,4.04,Well-Calibrated,High Growth
S00029,"Royaljunction, VA",NORTH,13,23488409.0,2.2538866e+07,7.55,-4.04,181629.0,,,-2.0,-5.4,4.04,Well-Calibrated,Neutral
